id_atendimento;data_atendimento;hora_atendimento;cliente;telefone;cidade;uf;profissional;servico;categoria;valor;forma_pagamento;status;canal_agendamento
100016;2025-08-01;16:30;Simone Ferreira;11980000390;Mauá;SP;Larissa Santos;Esmaltação em gel;Unhas;80.0;Cartão de crédito;Concluído;WhatsApp
100017;2025-08-01;16:30;Paula Martins;11980000323;São Paulo;SP;Patrícia Alves;Pedicure;Unhas;40.0;Cartão de crédito;Concluído;Presencial
100018;2025-08-01;16:30;Daniela Ferreira;11980000108;Mauá;SP;Mariana Silva;Hidratação;Cabelos;95.0;Cartão de crédito;Concluído;Instagram
100019;2025-08-01;16:30;Paula Souza;11980000283;São Paulo;SP;Patrícia Alves;Manicure + Pedicure;Unhas;0.0;Cartão de crédito;Cancelado;Presencial
100020;2025-08-01;17:00;Camila Carvalho;11980000210;São Bernardo do Campo;SP;Larissa Santos;Alongamento de unhas;Unhas;150.0;PIX;Concluído;Instagram
100021;2025-08-01;17:00;Beatriz Ribeiro;11980000244;Diadema;SP;Juliana Martins;Manutenção de alongamento;Unhas;100.0;Cartão de débito;Concluído;WhatsApp
100022;2025-08-01;17:30;Larissa Lima;11980000326;São Paulo;SP;Patrícia Alves;Design de sobrancelhas;Sobrancelhas;45.0;Cartão de crédito;Concluído;Presencial
100023;2025-08-01;17:30;Sabrina Souza;11980000038;Mauá;SP;Larissa Santos;Spa dos pés;Estética;65.0;Dinheiro;Concluído;Telefone
100024;2025-08-01;18:00;Rafaela Gomes;11980000006;São Paulo;SP;Juliana Martins;Pedicure;Unhas;40.0;Cartão de crédito;Concluído;Presencial
100025;2025-08-02;09:00;Sabrina Lima;11980000062;São Caetano do Sul;SP;Camila Rodrigues;Extensão de cílios;Cílios;180.0;Cartão de débito;Concluído;Telefone
100026;2025-08-02;09:00;Isabela Barbosa;11980000117;São Paulo;SP;Camila Rodrigues;Manicure;Unhas;35.0;Dinheiro;Concluído;Instagram
100027;2025-08-02;09:00;Beatriz Oliveira;11980000329;São Caetano do Sul;SP;Patrícia Alves;Manicure;Unhas;35.0;Cartão de crédito;Concluído;Instagram
100028;2025-08-02;09:30;Amanda Barbosa;11980000290;São Paulo;SP;Larissa Santos;Escova;Cabelos;70.0;Dinheiro;Concluído;Instagram
100029;2025-08-02;10:00;Raquel Silva;11980000275;Diadema;SP;Mariana Silva;Alongamento de unhas;Unhas;150.0;Dinheiro;Concluído;Instagram
100030;2025-08-02;10:00;Aline Pereira;11980000322;Mauá;SP;Bruna Oliveira;Alongamento de unhas;Unhas;150.0;PIX;Concluído;Telefone
100031;2025-08-02;10:00;Daniela Rocha;11980000172;São Paulo;SP;Bruna Oliveira;Manicure + Pedicure;Unhas;70.0;PIX;Concluído;Telefone
100032;2025-08-02;10:30;Viviane Silva;11980000402;Diadema;SP;Renata Souza;Esmaltação em gel;Unhas;80.0;PIX;Concluído;WhatsApp
100033;2025-08-02;11:30;Fernanda Pereira;11980000292;Santo André;SP;Mariana Silva;Esmaltação em gel;Unhas;80.0;Cartão de débito;Concluído;Telefone
100034;2025-08-02;11:30;Luciana Ramos;11980000029;Santo André;SP;Larissa Santos;Hidratação;Cabelos;95.0;Cartão de débito;Concluído;WhatsApp
100035;2025-08-02;13:00;Camila Rodrigues;11980000009;São Bernardo do Campo;SP;Juliana Martins;Manicure;Unhas;31.5;PIX;Concluído;Presencial
100036;2025-08-02;13:30;Elaine Almeida;11980000110;Diadema;SP;Larissa Santos;Manicure;Unhas;35.0;Dinheiro;Concluído;Telefone
100037;2025-08-02;13:30;Amanda Mendes;11980000127;São Bernardo do Campo;SP;Fernanda Costa;Design + Henna;Sobrancelhas;60.0;Cartão de débito;Concluído;WhatsApp
100038;2025-08-02;13:30;Flávia Cardoso;11980000027;Diadema;SP;Bruna Oliveira;Design de sobrancelhas;Sobrancelhas;45.0;PIX;Concluído;WhatsApp
100039;2025-08-02;14:00;Jéssica Souza;11980000086;Mauá;SP;Mariana Silva;Manicure;Unhas;35.0;PIX;Concluído;WhatsApp
100040;2025-08-02;14:30;Natália Barbosa;11980000328;Santo André;SP;Patrícia Alves;Manicure + Pedicure;Unhas;63.0;Cartão de crédito;Concluído;Instagram
100041;2025-08-02;15:00;Renata Rocha;11980000423;Santo André;SP;Renata Souza;Esmaltação em gel;Unhas;80.0;Cartão de débito;Concluído;Instagram
100042;2025-08-02;15:00;Camila Souza;11980000360;Mauá;SP;Patrícia Alves;Pedicure;Unhas;40.0;Dinheiro;Concluído;Telefone
100043;2025-08-02;15:30;Letícia Ribeiro;11980000375;São Bernardo do Campo;SP;Larissa Santos;Design de sobrancelhas;Sobrancelhas;45.0;Dinheiro;Concluído;Presencial
100044;2025-08-02;15:30;Juliana Ribeiro;11980000046;Santo André;SP;Juliana Martins;Manicure;Unhas;35.0;Cartão de crédito;Concluído;Instagram
100045;2025-08-02;15:30;Bianca Rocha;11980000082;São Paulo;SP;Fernanda Costa;Manicure;Unhas;35.0;Cartão de débito;Concluído;Instagram
100046;2025-08-02;16:00;Camila Ferreira;11980000386;São Caetano do Sul;SP;Juliana Martins;Design de sobrancelhas;Sobrancelhas;45.0;Dinheiro;Concluído;Instagram
100047;2025-08-02;16:30;Marcela Vieira;11980000030;São Paulo;SP;Renata Souza;Manicure;Unhas;35.0;PIX;Concluído;Instagram
100048;2025-08-02;16:30;Débora Barbosa;11980000092;Diadema;SP;Camila Rodrigues;Design de sobrancelhas;Sobrancelhas;45.0;Cartão de crédito;Concluído;Telefone
100049;2025-08-02;16:30;Viviane Ferreira;11980000440;Santo André;SP;Juliana Martins;Manicure;Unhas;33.25;Cartão de débito;Concluído;Instagram
100050;2025-08-02;16:30;Monique Mendes;11980000419;Santo André;SP;Juliana Martins;Spa dos pés;Estética;65.0;Dinheiro;Concluído;Presencial
100051;2025-08-02;16:30;Jéssica Carvalho;11980000185;Diadema;SP;Mariana Silva;Manicure;Unhas;35.0;Cartão de crédito;Concluído;WhatsApp
100052;2025-08-02;17:00;Aline Pereira;11980000322;Mauá;SP;Patrícia Alves;Corte feminino;Cabelos;80.75;PIX;Concluído;Instagram
100053;2025-08-02;17:30;Rafaela Gomes;11980000356;Diadema;SP;Mariana Silva;Manutenção de alongamento;Unhas;95.0;PIX;Concluído;WhatsApp
100054;2025-08-02;18:00;Daniela Ferreira;11980000435;São Bernardo do Campo;SP;Fernanda Costa;Pedicure;Unhas;40.0;Dinheiro;Concluído;WhatsApp
100055;2025-08-02;18:00;Larissa Lima;11980000260;Santo André;SP;Fernanda Costa;Design de sobrancelhas;Sobrancelhas;45.0;Dinheiro;Concluído;WhatsApp
100056;2025-08-04;09:30;Elaine Silva;11980000327;São Caetano do Sul;SP;Bruna Oliveira;Manicure;Unhas;35.0;Cartão de crédito;Concluído;Telefone
100057;2025-08-04;09:30;Fernanda Gomes;11980000191;São Paulo;SP;Juliana Martins;Esmaltação em gel;Unhas;72.0;PIX;Concluído;WhatsApp
100058;2025-08-04;10:30;Elaine Santos;11980000231;São Bernardo do Campo;SP;Larissa Santos;Manicure + Pedicure;Unhas;70.0;Cartão de crédito;Concluído;Presencial
100059;2025-08-04;11:00;Sabrina Martins;11980000215;Diadema;SP;Larissa Santos;Coloração;Cabelos;160.0;PIX;Concluído;Instagram
100060;2025-08-04;11:00;Natália Costa;11980000120;São Paulo;SP;Juliana Martins;Coloração;Cabelos;160.0;PIX;Concluído;Instagram
100061;2025-08-04;13:30;Priscila Barbosa;11980000150;Santo André;SP;Fernanda Costa;Manutenção de cílios;Cílios;81.0;Dinheiro;Concluído;Instagram
100062;2025-08-04;14:30;Paula Ribeiro;11980000450;São Caetano do Sul;SP;Larissa Santos;Hidratação;Cabelos;95.0;Dinheiro;Concluído;Instagram
100063;2025-08-04;14:30;Bruna Martins;11980000136;São Bernardo do Campo;SP;Juliana Martins;Manicure;Unhas;35.0;PIX;Concluído;Telefone
100064;2025-08-04;15:30;Beatriz Gomes;11980000076;Mauá;SP;Juliana Martins;Extensão de cílios;Cílios;180.0;PIX;Concluído;Telefone
100065;2025-08-04;16:00;Daniela Rocha;11980000172;São Paulo;SP;Camila Rodrigues;Manutenção de cílios;Cílios;90.0;Cartão de débito;Concluído;Instagram
100066;2025-08-04;16:00;Priscila Ribeiro;11980000436;São Paulo;SP;Mariana Silva;Corte feminino;Cabelos;85.0;Cartão de débito;Concluído;Telefone
100067;2025-08-04;16:30;Cristiane Ferreira;11980000376;São Paulo;SP;Renata Souza;Manicure;Unhas;35.0;Cartão de débito;Concluído;WhatsApp
100068;2025-08-05;10:00;Jéssica Almeida;11980000299;São Paulo;SP;Fernanda Costa;Corte feminino;Cabelos;85.0;PIX;Concluído;Presencial
100069;2025-08-05;11:00;Juliana Silva;11980000141;São Bernardo do Campo;SP;Fernanda Costa;Manutenção de alongamento;Unhas;100.0;Cartão de crédito;Concluído;Presencial
100070;2025-08-05;13:30;Marcela Vieira;11980000030;São Paulo;SP;Larissa Santos;Esmaltação em gel;Unhas;0.0;PIX;Não Compareceu;Instagram
100071;2025-08-05;13:30;Isabela Santos;11980000208;Mauá;SP;Larissa Santos;Design de sobrancelhas;Sobrancelhas;45.0;PIX;Concluído;Instagram
100072;2025-08-05;13:30;Natália Carvalho;11980000063;Diadema;SP;Camila Rodrigues;Manicure;Unhas;35.0;Dinheiro;Concluído;WhatsApp
100073;2025-08-05;14:00;Camila Souza;11980000211;São Caetano do Sul;SP;Larissa Santos;Manicure;Unhas;35.0;Dinheiro;Concluído;Instagram
100074;2025-08-05;15:00;Marcela Martins;11980000199;São Paulo;SP;Fernanda Costa;Pedicure;Unhas;38.0;PIX;Concluído;Telefone
100075;2025-08-05;15:00;Gabriela Silva;11980000415;São Paulo;SP;Patrícia Alves;Manicure;Unhas;35.0;Dinheiro;Concluído;Presencial
100076;2025-08-05;15:30;Paula Martins;11980000323;São Paulo;SP;Camila Rodrigues;Spa dos pés;Estética;65.0;Dinheiro;Concluído;Telefone
100077;2025-08-05;16:00;Raquel Ferreira;11980000421;São Bernardo do Campo;SP;Bruna Oliveira;Esmaltação em gel;Unhas;80.0;Cartão de crédito;Concluído;Instagram
100078;2025-08-06;10:00;Raquel Carvalho;11980000193;São Bernardo do Campo;SP;Patrícia Alves;Manutenção de cílios;Cílios;90.0;Dinheiro;Concluído;Presencial
100079;2025-08-06;10:00;Luciana Costa;11980000255;São Caetano do Sul;SP;Patrícia Alves;Manicure + Pedicure;Unhas;70.0;Cartão de débito;Concluído;WhatsApp
100080;2025-08-06;10:30;Tatiane Costa;11980000194;Diadema;SP;Mariana Silva;Esmaltação em gel;Unhas;80.0;Cartão de crédito;Concluído;WhatsApp
100081;2025-08-06;11:30;Tatiane Martins;11980000406;Santo André;SP;Larissa Santos;Design + Henna;Sobrancelhas;60.0;Cartão de débito;Concluído;Instagram
100082;2025-08-06;13:00;Camila Santos;11980000291;São Paulo;SP;Patrícia Alves;Design de sobrancelhas;Sobrancelhas;45.0;Dinheiro;Concluído;Instagram
100083;2025-08-06;13:30;Cristiane Martins;11980000252;Santo André;SP;Camila Rodrigues;Manicure;Unhas;35.0;PIX;Concluído;WhatsApp
100084;2025-08-06;13:30;Simone Silva;11980000137;São Caetano do Sul;SP;Camila Rodrigues;Manutenção de cílios;Cílios;90.0;Dinheiro;Concluído;Instagram
100085;2025-08-06;14:00;Raquel Ferreira;11980000421;São Bernardo do Campo;SP;Mariana Silva;Manutenção de alongamento;Unhas;100.0;PIX;Concluído;WhatsApp
100086;2025-08-06;14:30;Tatiane Costa;11980000194;Diadema;SP;Fernanda Costa;Manutenção de cílios;Cílios;81.0;PIX;Concluído;Presencial
100087;2025-08-06;15:00;Priscila Ribeiro;11980000436;São Paulo;SP;Camila Rodrigues;Pedicure;Unhas;0.0;Cartão de crédito;Cancelado;WhatsApp
100088;2025-08-06;15:00;Monique Lima;11980000410;São Bernardo do Campo;SP;Camila Rodrigues;Manicure + Pedicure;Unhas;70.0;PIX;Concluído;Instagram
100089;2025-08-06;15:00;Elaine Gomes;11980000301;Mauá;SP;Juliana Martins;Manicure + Pedicure;Unhas;70.0;Cartão de crédito;Concluído;Presencial
100090;2025-08-06;15:00;Viviane Rocha;11980000170;Diadema;SP;Renata Souza;Escova;Cabelos;70.0;Cartão de débito;Concluído;Instagram
100091;2025-08-06;15:30;Elaine Souza;11980000091;São Caetano do Sul;SP;Renata Souza;Design de sobrancelhas;Sobrancelhas;45.0;PIX;Concluído;Telefone
100092;2025-08-06;16:30;Beatriz Rocha;11980000079;Santo André;SP;Camila Rodrigues;Manicure + Pedicure;Unhas;70.0;Dinheiro;Concluído;WhatsApp
100093;2025-08-06;16:30;Elaine Gomes;11980000335;Santo André;SP;Patrícia Alves;Design de sobrancelhas;Sobrancelhas;45.0;PIX;Concluído;Instagram
100094;2025-08-06;17:00;Bruna Almeida;11980000369;Mauá;SP;Camila Rodrigues;Manicure;Unhas;33.25;Cartão de crédito;Concluído;Presencial
100095;2025-08-06;18:00;Elaine Gomes;11980000301;Mauá;SP;Patrícia Alves;Manutenção de cílios;Cílios;90.0;PIX;Concluído;Presencial
100096;2025-08-07;09:30;Beatriz Ribeiro;11980000244;Diadema;SP;Fernanda Costa;Manicure;Unhas;35.0;Cartão de crédito;Concluído;Presencial
100097;2025-08-07;10:30;Simone Oliveira;11980000058;São Paulo;SP;Bruna Oliveira;Manicure;Unhas;0.0;PIX;Cancelado;Telefone
100098;2025-08-07;11:00;Vanessa Martins;11980000020;São Bernardo do Campo;SP;Patrícia Alves;Manicure + Pedicure;Unhas;70.0;Dinheiro;Concluído;Telefone
100099;2025-08-07;13:00;Flávia Lima;11980000089;Diadema;SP;Patrícia Alves;Spa dos pés;Estética;65.0;Dinheiro;Concluído;Presencial
100100;2025-08-07;14:00;Bianca Lopes;11980000023;Diadema;SP;Fernanda Costa;Manutenção de alongamento;Unhas;100.0;Cartão de débito;Concluído;Instagram
100101;2025-08-07;14:00;Carla Gomes;11980000445;São Caetano do Sul;SP;Mariana Silva;Hidratação;Cabelos;95.0;Dinheiro;Concluído;Presencial
100102;2025-08-07;14:00;Débora Santos;11980000104;São Bernardo do Campo;SP;Patrícia Alves;Escova;Cabelos;70.0;PIX;Concluído;Presencial
100103;2025-08-07;15:30;Camila Ferreira;11980000386;São Caetano do Sul;SP;Juliana Martins;Manicure;Unhas;31.5;Dinheiro;Concluído;Instagram
100104;2025-08-07;16:00;Bianca Santos;11980000251;São Caetano do Sul;SP;Fernanda Costa;Manicure;Unhas;35.0;Dinheiro;Concluído;Presencial
100105;2025-08-07;17:30;Elaine Silva;11980000327;São Caetano do Sul;SP;Fernanda Costa;Spa dos pés;Estética;65.0;Cartão de débito;Concluído;Presencial
100106;2025-08-07;18:00;Paula Souza;11980000283;São Paulo;SP;Mariana Silva;Hidratação;Cabelos;95.0;PIX;Concluído;Presencial
100107;2025-08-07;18:00;Larissa Martins;11980000284;Diadema;SP;Camila Rodrigues;Escova;Cabelos;70.0;Dinheiro;Concluído;Instagram
100108;2025-08-08;09:00;Beatriz Ferreira;11980000334;São Bernardo do Campo;SP;Bruna Oliveira;Esmaltação em gel;Unhas;80.0;Cartão de crédito;Concluído;WhatsApp
100109;2025-08-08;11:00;Marcela Vieira;11980000030;São Paulo;SP;Bruna Oliveira;Design + Henna;Sobrancelhas;54.0;Dinheiro;Concluído;Telefone
100110;2025-08-08;11:30;Fernanda Gomes;11980000191;São Paulo;SP;Larissa Santos;Design de sobrancelhas;Sobrancelhas;0.0;Dinheiro;Cancelado;Telefone
100111;2025-08-08;13:00;Elaine Moura;11980000026;São Bernardo do Campo;SP;Patrícia Alves;Escova;Cabelos;70.0;Cartão de crédito;Concluído;Telefone
100112;2025-08-08;13:00;Daniela Silva;11980000437;São Paulo;SP;Mariana Silva;Manutenção de alongamento;Unhas;100.0;Dinheiro;Concluído;WhatsApp
100113;2025-08-08;13:30;Viviane Ferreira;11980000440;Santo André;SP;Juliana Martins;Spa dos pés;Estética;65.0;Dinheiro;Concluído;Telefone
100114;2025-08-08;14:00;Elaine Carvalho;11980000151;Mauá;SP;Juliana Martins;Manutenção de alongamento;Unhas;90.0;Cartão de crédito;Concluído;Telefone
100115;2025-08-08;14:00;Viviane Ferreira;11980000142;Mauá;SP;Mariana Silva;Hidratação;Cabelos;95.0;Cartão de débito;Concluído;Instagram
100116;2025-08-08;14:30;Carla Oliveira;11980000115;Santo André;SP;Fernanda Costa;Design de sobrancelhas;Sobrancelhas;45.0;Cartão de débito;Concluído;Presencial
100117;2025-08-08;14:30;Tatiane Silva;11980000262;São Paulo;SP;Mariana Silva;Design de sobrancelhas;Sobrancelhas;45.0;PIX;Concluído;Telefone
100118;2025-08-08;15:30;Marcela Oliveira;11980000382;Mauá;SP;Larissa Santos;Corte feminino;Cabelos;85.0;Cartão de débito;Concluído;Presencial
100119;2025-08-08;15:30;Sabrina Barbosa;11980000380;Santo André;SP;Larissa Santos;Manutenção de cílios;Cílios;90.0;Cartão de crédito;Concluído;Presencial
100120;2025-08-08;15:30;Natália Carvalho;11980000352;Mauá;SP;Larissa Santos;Corte feminino;Cabelos;80.75;Cartão de crédito;Concluído;Instagram
100121;2025-08-08;16:00;Elaine Ferreira;11980000242;São Caetano do Sul;SP;Renata Souza;Esmaltação em gel;Unhas;80.0;Dinheiro;Concluído;Instagram
100122;2025-08-08;17:00;Fernanda Gomes;11980000191;São Paulo;SP;Fernanda Costa;Design de sobrancelhas;Sobrancelhas;45.0;Dinheiro;Concluído;WhatsApp
100123;2025-08-08;17:00;Jéssica Carvalho;11980000185;Diadema;SP;Renata Souza;Manicure + Pedicure;Unhas;70.0;PIX;Concluído;Instagram
100124;2025-08-09;09:00;Natália Oliveira;11980000373;São Paulo;SP;Patrícia Alves;Pedicure;Unhas;40.0;Cartão de crédito;Concluído;WhatsApp
100125;2025-08-09;09:00;Bianca Costa;11980000388;São Bernardo do Campo;SP;Renata Souza;Manicure;Unhas;35.0;Cartão de crédito;Concluído;Telefone
100126;2025-08-09;09:30;Raquel Carvalho;11980000193;São Bernardo do Campo;SP;Fernanda Costa;Manutenção de cílios;Cílios;90.0;PIX;Concluído;WhatsApp
100127;2025-08-09;09:30;Daniela Ribeiro;11980000171;Diadema;SP;Patrícia Alves;Manicure + Pedicure;Unhas;70.0;Cartão de débito;Concluído;Instagram
100128;2025-08-09;09:30;Patrícia Pereira;11980000220;Diadema;SP;Larissa Santos;Alongamento de unhas;Unhas;135.0;Cartão de débito;Concluído;Telefone
100129;2025-08-09;10:00;Paula Mendes;11980000296;São Caetano do Sul;SP;Patrícia Alves;Esmaltação em gel;Unhas;80.0;Dinheiro;Concluído;Presencial
100130;2025-08-09;10:00;Aline Pereira;11980000319;São Paulo;SP;Fernanda Costa;Hidratação;Cabelos;95.0;Cartão de débito;Concluído;Presencial
100131;2025-08-09;10:00;Viviane Mendes;11980000057;São Bernardo do Campo;SP;Larissa Santos;Manicure;Unhas;35.0;PIX;Concluído;WhatsApp
100132;2025-08-09;10:30;Marcela Ferreira;11980000106;Santo André;SP;Camila Rodrigues;Manicure + Pedicure;Unhas;70.0;Cartão de débito;Concluído;Instagram
100133;2025-08-09;10:30;Sabrina Martins;11980000215;Diadema;SP;Juliana Martins;Esmaltação em gel;Unhas;80.0;PIX;Concluído;Instagram
100134;2025-08-09;11:00;Jéssica Gomes;11980000049;Diadema;SP;Camila Rodrigues;Manicure;Unhas;35.0;Cartão de crédito;Concluído;Presencial
100135;2025-08-09;13:00;Elaine Santos;11980000176;São Caetano do Sul;SP;Larissa Santos;Manicure + Pedicure;Unhas;70.0;Dinheiro;Concluído;Instagram
100136;2025-08-09;14:30;Bianca Ferreira;11980000132;São Paulo;SP;Renata Souza;Manutenção de alongamento;Unhas;100.0;PIX;Concluído;Instagram
100137;2025-08-09;15:30;Jéssica Silva;11980000448;São Caetano do Sul;SP;Camila Rodrigues;Escova;Cabelos;70.0;Cartão de débito;Concluído;WhatsApp
100138;2025-08-09;16:00;Simone Gomes;11980000205;Santo André;SP;Larissa Santos;Manicure + Pedicure;Unhas;70.0;Dinheiro;Concluído;Instagram
100139;2025-08-09;17:00;Beatriz Barbosa;11980000214;Mauá;SP;Larissa Santos;Escova;Cabelos;70.0;Dinheiro;Concluído;WhatsApp
100140;2025-08-09;17:30;Sabrina Ferreira;11980000281;Santo André;SP;Larissa Santos;Corte feminino;Cabelos;85.0;PIX;Concluído;WhatsApp
100141;2025-08-09;18:00;Rafaela Ribeiro;11980000153;São Paulo;SP;Fernanda Costa;Manutenção de alongamento;Unhas;100.0;Cartão de débito;Concluído;Instagram
100142;2025-08-09;18:00;Marcela Ferreira;11980000160;Santo André;SP;Patrícia Alves;Manicure;Unhas;35.0;Cartão de crédito;Concluído;WhatsApp
100143;2025-08-11;09:00;Mariana Oliveira;11980000207;São Caetano do Sul;SP;Bruna Oliveira;Manicure;Unhas;33.25;Cartão de débito;Concluído;Instagram
100144;2025-08-11;10:00;Simone Oliveira;11980000058;São Paulo;SP;Bruna Oliveira;Manutenção de alongamento;Unhas;100.0;Cartão de débito;Concluído;Instagram
100145;2025-08-11;10:30;Vanessa Mendes;11980000343;Santo André;SP;Mariana Silva;Esmaltação em gel;Unhas;80.0;Cartão de crédito;Concluído;Presencial
100146;2025-08-11;11:00;Daniela Rocha;11980000355;São Caetano do Sul;SP;Patrícia Alves;Manutenção de cílios;Cílios;90.0;Cartão de débito;Concluído;Presencial
100147;2025-08-11;11:30;Natália Almeida;11980000077;São Bernardo do Campo;SP;Camila Rodrigues;Manicure;Unhas;33.25;Dinheiro;Concluído;Instagram
100148;2025-08-11;13:00;Elaine Souza;11980000111;Santo André;SP;Larissa Santos;Escova;Cabelos;70.0;PIX;Concluído;WhatsApp
100149;2025-08-11;14:30;Luciana Santos;11980000103;São Paulo;SP;Renata Souza;Design de sobrancelhas;Sobrancelhas;40.5;Cartão de crédito;Concluído;Instagram
100150;2025-08-11;14:30;Mariana Oliveira;11980000002;São Bernardo do Campo;SP;Mariana Silva;Manicure + Pedicure;Unhas;70.0;Cartão de débito;Concluído;WhatsApp
100151;2025-08-11;15:00;Cristiane Martins;11980000039;São Bernardo do Campo;SP;Larissa Santos;Manicure + Pedicure;Unhas;0.0;PIX;Não Compareceu;Instagram
100152;2025-08-11;15:00;Sabrina Martins;11980000215;Diadema;SP;Renata Souza;Manicure + Pedicure;Unhas;0.0;Dinheiro;Não Compareceu;Instagram
100153;2025-08-11;15:30;Bruna Gomes;11980000336;Mauá;SP;Larissa Santos;Coloração;Cabelos;152.0;Cartão de crédito;Concluído;Telefone
100154;2025-08-11;15:30;Cristiane Carvalho;11980000287;São Paulo;SP;Larissa Santos;Extensão de cílios;Cílios;180.0;PIX;Concluído;Instagram
100155;2025-08-11;16:30;Gabriela Pereira;11980000272;Mauá;SP;Camila Rodrigues;Design de sobrancelhas;Sobrancelhas;42.75;Dinheiro;Concluído;Instagram
100156;2025-08-11;16:30;Patrícia Rocha;11980000085;Mauá;SP;Larissa Santos;Manicure;Unhas;35.0;Cartão de crédito;Concluído;Presencial
100157;2025-08-11;17:00;Luciana Ferreira;11980000325;Diadema;SP;Juliana Martins;Manutenção de cílios;Cílios;81.0;Cartão de crédito;Concluído;WhatsApp
100158;2025-08-11;18:00;Juliana Santos;11980000071;São Paulo;SP;Bruna Oliveira;Design de sobrancelhas;Sobrancelhas;45.0;Cartão de débito;Concluído;Instagram
100159;2025-08-12;09:00;Amanda Oliveira;11980000112;São Caetano do Sul;SP;Larissa Santos;Spa dos pés;Estética;65.0;Cartão de débito;Concluído;Instagram
100160;2025-08-12;10:30;Débora Nunes;11980000021;São Paulo;SP;Mariana Silva;Alongamento de unhas;Unhas;150.0;Cartão de débito;Concluído;Telefone
100161;2025-08-12;10:30;Aline Gomes;11980000222;São Bernardo do Campo;SP;Mariana Silva;Manicure;Unhas;35.0;PIX;Concluído;WhatsApp
100162;2025-08-12;11:00;Fernanda Lima;11980000003;São Paulo;SP;Mariana Silva;Manutenção de alongamento;Unhas;100.0;Cartão de débito;Concluído;Telefone
100163;2025-08-12;11:30;Amanda Ferreira;11980000398;Mauá;SP;Renata Souza;Manicure + Pedicure;Unhas;0.0;PIX;Não Compareceu;Instagram
100164;2025-08-12;11:30;Luciana Santos;11980000103;São Paulo;SP;Fernanda Costa;Manutenção de cílios;Cílios;0.0;Cartão de débito;Não Compareceu;Instagram
100165;2025-08-12;13:30;Patrícia Santos;11980000213;Diadema;SP;Bruna Oliveira;Manicure;Unhas;35.0;Cartão de débito;Concluído;Telefone
100166;2025-08-12;13:30;Sabrina Souza;11980000286;Diadema;SP;Juliana Martins;Design de sobrancelhas;Sobrancelhas;45.0;Dinheiro;Concluído;Presencial
100167;2025-08-12;14:30;Isabela Lima;11980000264;Diadema;SP;Larissa Santos;Esmaltação em gel;Unhas;80.0;Cartão de crédito;Concluído;WhatsApp
100168;2025-08-12;14:30;Larissa Rocha;11980000430;Santo André;SP;Camila Rodrigues;Extensão de cílios;Cílios;180.0;PIX;Concluído;Presencial
100169;2025-08-12;15:00;Patrícia Barbosa;11980000196;São Caetano do Sul;SP;Bruna Oliveira;Alongamento de unhas;Unhas;0.0;PIX;Cancelado;WhatsApp
